version,id,code,name,countryid,,start,id,code,name,countryid,end,script
0,11,2000,AOV bonus,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_11_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""11""></param>","<param name=""code"" value=""2000""></param>","<param name=""name"" value=""AOV bonus""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_11_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""11""></param><param name=""code"" value=""2000""></param><param name=""name"" value=""AOV bonus""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,12,2100,AOV child allowance,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_12_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""12""></param>","<param name=""code"" value=""2100""></param>","<param name=""name"" value=""AOV child allowance""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_12_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""12""></param><param name=""code"" value=""2100""></param><param name=""name"" value=""AOV child allowance""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,13,2200,AOV lump sum,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_13_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""13""></param>","<param name=""code"" value=""2200""></param>","<param name=""name"" value=""AOV lump sum""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_13_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""13""></param><param name=""code"" value=""2200""></param><param name=""name"" value=""AOV lump sum""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,14,2300,AOV extra earnings,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_14_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""14""></param>","<param name=""code"" value=""2300""></param>","<param name=""name"" value=""AOV extra earnings""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_14_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""14""></param><param name=""code"" value=""2300""></param><param name=""name"" value=""AOV extra earnings""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,15,2400,Wage tax,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_15_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""15""></param>","<param name=""code"" value=""2400""></param>","<param name=""name"" value=""Wage tax""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_15_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""15""></param><param name=""code"" value=""2400""></param><param name=""name"" value=""Wage tax""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,16,2500,Wage tax overtime,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_16_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""16""></param>","<param name=""code"" value=""2500""></param>","<param name=""name"" value=""Wage tax overtime""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_16_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""16""></param><param name=""code"" value=""2500""></param><param name=""name"" value=""Wage tax overtime""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,17,2600,Wage tax vacation allowance,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_17_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""17""></param>","<param name=""code"" value=""2600""></param>","<param name=""name"" value=""Wage tax vacation allowance""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_17_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""17""></param><param name=""code"" value=""2600""></param><param name=""name"" value=""Wage tax vacation allowance""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,18,2700,Wage tax bonus,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_18_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""18""></param>","<param name=""code"" value=""2700""></param>","<param name=""name"" value=""Wage tax bonus""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_18_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""18""></param><param name=""code"" value=""2700""></param><param name=""name"" value=""Wage tax bonus""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,19,2800,Wage tax child allowance,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_19_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""19""></param>","<param name=""code"" value=""2800""></param>","<param name=""name"" value=""Wage tax child allowance""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_19_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""19""></param><param name=""code"" value=""2800""></param><param name=""name"" value=""Wage tax child allowance""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,20,2900,Wage tax lump sum,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_20_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate"">","<param name=""id"" value=""20""></param>","<param name=""code"" value=""2900""></param>","<param name=""name"" value=""Wage tax lump sum""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_general_ledger_template_20_0"" author=""cxode""> <customChange class=""com.cxode.app.wage.liquibase.DataGeneralLedgerTemplate""><param name=""id"" value=""20""></param><param name=""code"" value=""2900""></param><param name=""name"" value=""Wage tax lump sum""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
