version,id,taxtarifftypeid,index,percentage,minamount,maxamount,startdate,enddate,countryid,,start,id,taxtarifftypeid,index,percentage,minamount,maxamount,startdate,enddate,countryid,end,script
0,-14,4,3,50,15,19,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-14_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-14""></param>","<param name=""taxtarifftype"" value=""4""></param>","<param name=""index"" value=""3""></param>","<param name=""percentage"" value=""50""></param>","<param name=""minamount"" value=""15""></param>","<param name=""maxamount"" value=""19""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-14_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-14""></param><param name=""taxtarifftype"" value=""4""></param><param name=""index"" value=""3""></param><param name=""percentage"" value=""50""></param><param name=""minamount"" value=""15""></param><param name=""maxamount"" value=""19""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-15,4,4,75,20,24,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-15_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-15""></param>","<param name=""taxtarifftype"" value=""4""></param>","<param name=""index"" value=""4""></param>","<param name=""percentage"" value=""75""></param>","<param name=""minamount"" value=""20""></param>","<param name=""maxamount"" value=""24""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-15_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-15""></param><param name=""taxtarifftype"" value=""4""></param><param name=""index"" value=""4""></param><param name=""percentage"" value=""75""></param><param name=""minamount"" value=""20""></param><param name=""maxamount"" value=""24""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-16,4,5,100,25,29,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-16_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-16""></param>","<param name=""taxtarifftype"" value=""4""></param>","<param name=""index"" value=""5""></param>","<param name=""percentage"" value=""100""></param>","<param name=""minamount"" value=""25""></param>","<param name=""maxamount"" value=""29""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-16_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-16""></param><param name=""taxtarifftype"" value=""4""></param><param name=""index"" value=""5""></param><param name=""percentage"" value=""100""></param><param name=""minamount"" value=""25""></param><param name=""maxamount"" value=""29""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-17,4,6,150,30,34,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-17_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-17""></param>","<param name=""taxtarifftype"" value=""4""></param>","<param name=""index"" value=""6""></param>","<param name=""percentage"" value=""150""></param>","<param name=""minamount"" value=""30""></param>","<param name=""maxamount"" value=""34""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-17_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-17""></param><param name=""taxtarifftype"" value=""4""></param><param name=""index"" value=""6""></param><param name=""percentage"" value=""150""></param><param name=""minamount"" value=""30""></param><param name=""maxamount"" value=""34""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-18,4,7,200,35,39,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-18_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-18""></param>","<param name=""taxtarifftype"" value=""4""></param>","<param name=""index"" value=""7""></param>","<param name=""percentage"" value=""200""></param>","<param name=""minamount"" value=""35""></param>","<param name=""maxamount"" value=""39""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-18_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-18""></param><param name=""taxtarifftype"" value=""4""></param><param name=""index"" value=""7""></param><param name=""percentage"" value=""200""></param><param name=""minamount"" value=""35""></param><param name=""maxamount"" value=""39""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-19,4,8,300,40,,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-19_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-19""></param>","<param name=""taxtarifftype"" value=""4""></param>","<param name=""index"" value=""8""></param>","<param name=""percentage"" value=""300""></param>","<param name=""minamount"" value=""40""></param>","<param name=""maxamount"" value=""""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-19_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-19""></param><param name=""taxtarifftype"" value=""4""></param><param name=""index"" value=""8""></param><param name=""percentage"" value=""300""></param><param name=""minamount"" value=""40""></param><param name=""maxamount"" value=""""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-20,5,1,4,,,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-20_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-20""></param>","<param name=""taxtarifftype"" value=""5""></param>","<param name=""index"" value=""1""></param>","<param name=""percentage"" value=""4""></param>","<param name=""minamount"" value=""""></param>","<param name=""maxamount"" value=""""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-20_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-20""></param><param name=""taxtarifftype"" value=""5""></param><param name=""index"" value=""1""></param><param name=""percentage"" value=""4""></param><param name=""minamount"" value=""""></param><param name=""maxamount"" value=""""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-21,6,1,4,4800,,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-21_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-21""></param>","<param name=""taxtarifftype"" value=""6""></param>","<param name=""index"" value=""1""></param>","<param name=""percentage"" value=""4""></param>","<param name=""minamount"" value=""4800""></param>","<param name=""maxamount"" value=""""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-21_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-21""></param><param name=""taxtarifftype"" value=""6""></param><param name=""index"" value=""1""></param><param name=""percentage"" value=""4""></param><param name=""minamount"" value=""4800""></param><param name=""maxamount"" value=""""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-22,8,1,,108000,,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-22_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-22""></param>","<param name=""taxtarifftype"" value=""8""></param>","<param name=""index"" value=""1""></param>","<param name=""percentage"" value=""""></param>","<param name=""minamount"" value=""108000""></param>","<param name=""maxamount"" value=""""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-22_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-22""></param><param name=""taxtarifftype"" value=""8""></param><param name=""index"" value=""1""></param><param name=""percentage"" value=""""></param><param name=""minamount"" value=""108000""></param><param name=""maxamount"" value=""""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
0,-25,11,1,,125,500,2024-01-01,,740,,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-25_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket"">","<param name=""id"" value=""-25""></param>","<param name=""taxtarifftype"" value=""11""></param>","<param name=""index"" value=""1""></param>","<param name=""percentage"" value=""""></param>","<param name=""minamount"" value=""125""></param>","<param name=""maxamount"" value=""500""></param>","<param name=""startdate"" value=""2024-01-01""></param>","<param name=""enddate"" value=""""></param>","<param name=""countryid"" value=""740""></param>",</customChange></changeSet>,"<changeSet onValidationFail=""MARK_RAN"" id=""data_tax_bracket_-25_0"" author=""simple.solutions""><customChange class=""com.cxode.app.wage.liquibase.DataTaxBracket""><param name=""id"" value=""-25""></param><param name=""taxtarifftype"" value=""11""></param><param name=""index"" value=""1""></param><param name=""percentage"" value=""""></param><param name=""minamount"" value=""125""></param><param name=""maxamount"" value=""500""></param><param name=""startdate"" value=""2024-01-01""></param><param name=""enddate"" value=""""></param><param name=""countryid"" value=""740""></param></customChange></changeSet>"
